Genenames	KeggTerms
Cluster-2917.59714	ko04151
Cluster-2917.57803	ko04151
Cluster-2917.161946	ko04151
Cluster-51424.1	ko04151
Cluster-2917.93211	ko04151
Cluster-2917.161139	ko04151
Cluster-2917.164628	ko04151
Cluster-2917.124458	ko04151
Cluster-2917.116230	ko04151
Cluster-2917.102131	ko04151
Cluster-2917.51624	ko04151
Cluster-2917.102847	ko04151
Cluster-63042.0	ko04151
Cluster-2917.163837	ko04151
Cluster-2917.145029	ko04151
Cluster-2917.114789	ko04151
Cluster-2917.48823	ko04151
Cluster-1259.0	ko04151
Cluster-2917.120722	ko04151
Cluster-2917.38309	ko04151
Cluster-57856.0	ko04151
Cluster-2917.114930	ko04151
Cluster-1193.0	ko04151
Cluster-66135.0	ko04151
Cluster-2917.135277	ko04070
Cluster-2917.131801	ko04070
Cluster-2917.141981	ko04070
Cluster-2917.147438	ko04070
Cluster-2917.44609	ko04070
Cluster-80048.0	ko04070
Cluster-2917.86754	ko04070
Cluster-63042.0	ko04070
Cluster-2917.124227	ko04070
Cluster-2917.138406	ko04070
Cluster-2917.59714	ko04070
Cluster-2917.118084	ko04070
Cluster-77417.0	ko04070
Cluster-2917.1645	ko04070
Cluster-2917.117960	ko04070
Cluster-691.0	ko04070
Cluster-78692.0	ko04015
Cluster-2917.43484	ko04015
Cluster-17946.0	ko04015
Cluster-63042.0	ko04015
Cluster-2917.114789	ko04015
Cluster-2917.117818	ko04015
Cluster-2917.111982	ko04015
Cluster-2917.58672	ko04015
Cluster-2917.50256	ko04015
Cluster-691.0	ko04015
Cluster-77417.0	ko04015
Cluster-2917.127158	ko04015
Cluster-2917.59714	ko04015
Cluster-1259.0	ko04015
Cluster-2917.45905	ko04015
Cluster-2917.161062	ko04015
Cluster-57856.0	ko04015
Cluster-51424.1	ko04015
Cluster-2917.105601	ko04015
Cluster-2917.100021	ko04015
Cluster-1193.0	ko04015
Cluster-2917.139988	ko04015
Cluster-2917.655	ko04015
Cluster-2917.660	ko04015
Cluster-2917.147438	ko04015
Cluster-335.0	ko04015
Cluster-2917.21682	ko04015
Cluster-1259.0	ko04014
Cluster-2917.80191	ko04014
Cluster-57856.0	ko04014
Cluster-2917.136236	ko04014
Cluster-2917.163407	ko04014
Cluster-51424.1	ko04014
Cluster-2917.100021	ko04014
Cluster-1193.0	ko04014
Cluster-2917.84330	ko04014
Cluster-2917.116230	ko04014
Cluster-2917.135962	ko04014
Cluster-2917.32340	ko04014
Cluster-2917.96480	ko04014
